time,/jointset/shoulder0/elv_angle/value,/jointset/shoulder1/shoulder_elv/value,/jointset/shoulder2/shoulder_rot/value,/jointset/elbow/elbow_flexion/value,/jointset/radioulnar/pro_sup/value,/jointset/shoulder0/elv_angle/speed,/jointset/shoulder1/shoulder_elv/speed,/jointset/shoulder2/shoulder_rot/speed,/jointset/elbow/elbow_flexion/speed,/jointset/radioulnar/pro_sup/speed,x,z,/tau_elv_angle,/tau_shoulder_elv,/tau_shoulder_rot,/tau_elbow_flexion,/tau_pro_sup
0.0,0.349066,0.436332,0.0,1.5708,1.57,0.0,0.0,0.0,0.0,0.0,0.410498017,0.313832017,0.001486003,0.083238872,0.085891722,0.008351762,-0.039734687
0.005833333,0.349035361,0.436853113,0.003821606,1.555790739,1.408858518,-0.003591373,0.178738086,1.383145824,-4.191814204,-45.38009474,0.410498017,0.313832017,0.049901916,0.111334369,0.078533385,0.043565071,-0.012617348
0.011666667,0.349104757,0.438418103,0.016986979,1.533028044,1.155697052,0.034297429,0.357900592,3.203577328,-2.658320602,-31.54970853,0.410498017,0.313832017,0.098317829,0.139429865,0.071175048,0.07877838,0.014499992
0.0175,0.34953257,0.440975702,0.038400538,1.527299562,1.064876155,0.121359892,0.512876828,4.060051007,0.213766361,-4.90074406,0.410498017,0.313832017,0.131807389,0.123294404,0.023873233,0.022434424,0.003134898
0.023333333,0.35062537,0.444330341,0.063442336,1.529916113,1.036550014,0.262292681,0.631171684,4.447545274,0.202833447,-10.12293501,0.410498017,0.313832017,0.165296949,0.107158944,-0.023428583,-0.033909532,-0.008230195
0.029166667,0.352619911,0.44827184,0.089751984,1.528831623,0.937856202,0.41689833,0.715805326,4.499123213,-0.386286661,-20.85153724,0.410498017,0.313832017,0.154701344,0.108964003,-0.022119147,0.015078048,-0.003142614
0.035,0.355434914,0.45263014,0.115071316,1.527607107,0.826688482,0.543593846,0.774075135,4.10800854,0.154824725,-14.39970358,0.410498017,0.313832017,0.144105739,0.110769062,-0.020809711,0.064065629,0.001944968
0.040833333,0.358937492,0.457282616,0.137443206,1.530815341,0.774069529,0.658312595,0.821041463,3.593097362,0.875399862,-5.313259216,0.410498017,0.313832017,0.145858091,0.106366873,-0.028104059,0.046403823,-0.002453088
0.046666667,0.363127156,0.462208746,0.15734946,1.537006459,0.745191703,0.779165974,0.867899239,3.262647463,1.177528042,-6.259888656,0.410498017,0.313832017,0.147610443,0.101964685,-0.035398406,0.028742017,-0.006851144
0.0525,0.368027818,0.467401291,0.175537178,1.544356534,0.696662598,0.899846349,0.911442263,2.946753046,1.351761247,-9.56441142,0.410498017,0.313832017,0.142070834,0.099205218,-0.03618619,0.030127602,-0.00416348
0.058333333,0.373611192,0.472831043,0.191420379,1.552885083,0.643106492,1.013238533,0.949227342,2.472527128,1.581576228,-7.983431506,0.410498017,0.313832017,0.136531225,0.096445751,-0.036973974,0.031513187,-0.001475817
0.064166667,0.379835816,0.478472751,0.204343262,1.562714482,0.605694792,1.119999147,0.985488235,1.978547272,1.7723795,-5.263379448,0.410498017,0.313832017,0.1306064,0.093663772,-0.036197181,0.027000335,-0.002487579
0.07,0.386667127,0.484333256,0.214741096,1.57337473,0.576801072,1.221245854,1.024243497,1.606795831,1.866438929,-5.062980982,0.410498017,0.313832017,0.124681574,0.090881794,-0.035420387,0.022487483,-0.003499341
0.075833333,0.394071512,0.490425354,0.223206125,1.584390947,0.545355505,1.316184567,1.064597691,1.294887517,1.905996874,-5.52620431,0.410498017,0.313832017,0.117462999,0.088058356,-0.033389178,0.020039116,-0.002610283
0.081666667,0.402008429,0.496754983,0.229840975,1.595558244,0.514570463,1.403828489,1.105682346,0.979306083,1.918237948,-4.836515067,0.410498017,0.313832017,0.110244423,0.085234919,-0.03135797,0.01759075,-0.001721226
0.0875,0.410435416,0.503328085,0.23469257,1.606681903,0.489429894,1.484230311,1.148357268,0.695678608,1.886057932,-3.889873769,0.410498017,0.313832017,0.102712733,0.082382859,-0.028718101,0.014280149,-0.001734196
0.093333333,0.419310524,0.510157204,0.238092337,1.617451071,0.46794301,1.55747017,1.193459458,0.481536776,1.796698207,-3.58382305,0.410498017,0.313832017,0.095181043,0.079530799,-0.026078232,0.010969548,-0.001747166
0.099166667,0.42859168,0.517255591,0.240411413,1.627551475,0.447214378,1.623391355,1.240525339,0.319393901,1.659513267,-3.487147624,0.410498017,0.313832017,0.087401594,0.076563768,-0.023274078,0.008075988,-0.001326221
0.105,0.438235517,0.524632942,0.241886485,1.636732911,0.427679489,1.681818028,1.28910445,0.192163712,1.481623646,-3.174539674,0.410498017,0.313832017,0.079622144,0.073596736,-0.020469925,0.005182428,-0.000905277
0.110833333,0.448198489,0.532297627,0.242729457,1.64475968,0.41022376,1.732842818,1.338967132,0.104332517,1.264000337,-2.838563382,0.410498017,0.313832017,0.07199632,0.07053281,-0.017829601,0.002442978,-0.000713794
0.116666667,0.458437839,0.540256319,0.243190931,1.651404786,0.394232963,1.776576523,1.389906563,0.061364281,1.007910914,-2.672277266,0.410498017,0.313832017,0.064370496,0.067468884,-0.015189276,-0.000296473,-0.000522311
0.1225,0.468911199,0.548514151,0.243516048,1.656456037,0.378929824,1.813110462,1.441341408,0.054873736,0.719480177,-2.566378781,0.410498017,0.313832017,0.057038523,0.064306264,-0.012937594,-0.002430582,-0.000276387
0.128333333,0.479577039,0.557071868,0.243886767,1.659746617,0.364386782,1.842569785,1.492724425,0.076999154,0.404252741,-2.411672134,0.410498017,0.313832017,0.04970655,0.061143644,-0.010685911,-0.004564692,-3.05e-05
0.134166667,0.490394507,0.565928079,0.244463526,1.661131626,0.350818822,1.865178463,1.543505265,0.124559701,0.068127497,-2.244419229,0.410498017,0.313832017,0.042888699,0.05791145,-0.008977037,-0.00594293,9.71e-05
0.14,0.501324642,0.575077264,0.245384447,1.660512505,0.338152667,1.881198289,1.59317235,0.194997639,-0.28287746,-2.102481652,0.410498017,0.313832017,0.036070849,0.054679255,-0.007268164,-0.007321169,0.00022461
0.145833333,0.512329576,0.584511766,0.2467723,1.657813554,0.32630033,1.890928842,1.641138258,0.28293598,-0.643023308,-1.955882329,0.410498017,0.313832017,0.029873413,0.051389541,-0.006189243,-0.007884353,0.00030288
0.151666667,0.523373894,0.594219491,0.248709847,1.653004195,0.315395807,1.894701674,1.686848755,0.383464097,-1.006445746,-1.777516944,0.410498017,0.313832017,0.023675978,0.048099826,-0.005110323,-0.008447536,0.00038115
0.1575,0.534423683,0.604186204,0.25126139,1.646073278,0.305603501,1.892952077,1.729753545,0.491949794,-1.368974695,-1.578741679,0.410498017,0.313832017,0.018225571,0.044736188,-0.004737285,-0.008399203,0.000377068
0.163333333,0.545448473,0.61439346,0.254456249,1.637043253,0.296990028,1.886130262,1.769320849,0.604029175,-1.72613985,-1.373345861,0.410498017,0.313832017,0.012775164,0.041372549,-0.004364248,-0.00835087,0.000372987
0.169166667,0.55641947,0.624821025,0.258311982,1.625949253,0.289626177,1.874646192,1.805157439,0.717970448,-2.075907893,-1.145037903,0.410498017,0.313832017,0.007955143,0.037939524,-0.004576956,-0.007906955,0.000349039
0.175,0.56731108,0.635445613,0.262832967,1.612843105,0.28370551,1.858911517,1.836871268,0.832115733,-2.416019128,-0.878540177,0.410498017,0.313832017,0.003135122,0.034506499,-0.004789664,-0.00746304,0.000325091
0.180833333,0.578099478,0.646242215,0.268004335,1.597788253,0.279388507,1.839422155,1.863964479,0.938147768,-2.742773903,-0.605959578,0.410498017,0.313832017,-0.001048219,0.030919565,-0.005499071,-0.006713389,0.000209712
0.186666667,0.588764638,0.657181877,0.273745629,1.580877565,0.276584829,1.816658586,1.885920612,1.02751935,-3.052306164,-0.359685933,0.410498017,0.313832017,-0.005231561,0.02733263,-0.006208479,-0.005963738,9.43e-05
0.1925,0.599287926,0.668234252,0.279972984,1.562210437,0.275238011,1.790856641,1.902535076,1.106982991,-3.34513578,-0.089547955,0.410498017,0.313832017,-0.008989622,0.023764461,-0.007440313,-0.00494058,4.14e-05
0.198333333,0.609652492,0.679367268,0.28665354,1.541882666,0.275686314,1.762239666,1.913568928,1.182902928,-3.621669781,0.25578435,0.410498017,0.313832017,-0.012747682,0.020196291,-0.008672148,-0.003917422,-1.15e-05
0.204166667,0.619843168,0.690547682,0.293740334,1.519991729,0.278230017,1.731446312,1.918665336,1.241657794,-3.880647051,0.605808247,0.410498017,0.313832017,-0.016022888,0.016289841,-0.010059332,-0.003487453,-0.00017085
0.21,0.629849663,0.701739441,0.301078916,1.496645171,0.282631181,1.699091782,1.917458609,1.269230712,-4.120739379,0.892628325,0.410498017,0.313832017,-0.019298094,0.012383391,-0.011446515,-0.003057483,-0.000330215
0.215833333,0.639662422,0.712905487,0.308510337,1.471954327,0.288665927,1.664942076,1.909782802,1.277128266,-4.34131522,1.191490531,0.410498017,0.313832017,-0.022698391,0.008591029,-0.012974449,-0.001736622,-0.000393582
0.221666667,0.649270015,0.724007206,0.315960584,1.446035902,0.296707638,1.628749129,1.895403467,1.275685206,-4.541624204,1.580730163,0.410498017,0.313832017,-0.026098688,0.004798668,-0.014502383,-0.00041576,-0.000456948
0.2275,0.658662163,0.735005302,0.323349795,1.419002291,0.307150509,1.59135449,1.874235728,1.252000858,-4.724765877,1.990828286,0.410498017,0.313832017,-0.02898392,0.00055493,-0.016075386,-0.00070195,-0.00058019
0.233333333,0.667835099,0.745860027,0.330500089,1.390940193,0.319830663,1.5535904,1.846247484,1.193771137,-4.894247985,2.347798502,0.410498017,0.313832017,-0.031869152,-0.003688807,-0.017648389,-0.000988139,-0.000703431
0.239166667,0.6767855,0.756531352,0.337231351,1.361938752,0.334553931,1.51485224,1.811293063,1.111475098,-5.045079229,2.713242511,0.410498017,0.313832017,-0.035407198,-0.007823435,-0.018852036,0.000181589,-0.00076059
0.245,0.685505269,0.766977786,0.343436792,1.332127885,0.351637567,1.474516546,1.769141802,1.013489895,-5.171765229,3.157067746,0.410498017,0.313832017,-0.038945243,-0.011958064,-0.020055683,0.001351317,-0.000817748
0.250833333,0.693985585,0.777156977,0.349003469,1.30165204,0.371458217,1.432835446,1.719610856,0.888721284,-5.272352648,3.637362294,0.410498017,0.313832017,-0.042517825,-0.016398127,-0.020996995,0.002117928,-0.000932569
0.256666667,0.702219523,0.787025262,0.353730963,1.270672441,0.394059214,1.390044029,1.662545644,0.725770347,-5.344480883,4.110329878,0.410498017,0.313832017,-0.046090408,-0.020838191,-0.021938308,0.002884539,-0.001047389
0.2625,0.710199754,0.796539659,0.357432862,1.239357959,0.419493048,1.345700564,1.598442595,0.543323126,-5.386852042,4.625767191,0.410498017,0.313832017,-0.050502546,-0.025363293,-0.022123702,0.003888814,-0.001031208
0.268333333,0.71791546,0.805661036,0.36006823,1.207884879,0.448212294,1.299349796,1.527795916,0.360102854,-5.398857368,5.236756875,0.410498017,0.313832017,-0.054914685,-0.029888395,-0.022309096,0.00489309,-0.001015027
